"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived","abs_error","abs_rrp"
"1","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.9,0.95,0.05,20,10,"1b",19,19.25,-0.0131578947368421,0.0499999999999999,0.0540672212702758,0,19.5,0.0128205128205128,0.0499999999999999,0.0131578947368421
"2","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.75,0.85,0.15,20,0,"5b",15,14,0.0666666666666667,0.1,0.125163142954006,0,17,0.176470588235294,0.1,0.0666666666666667
"3","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.5,0.6,0.4,10,0,"15b",5,2.25,0.55,0.1,0.182321556793955,0,6,0.625,0.1,0.55
"4","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.5,0.6,0.4,20,10,"16b",15,11.75,0.216666666666667,0.1,0.182321556793955,0,16,0.265625,0.1,0.216666666666667
"5","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.1,0.25,0.75,20,10,"12b",11,13.75,-0.25,0.15,0.916290731874155,0,12.5,-0.1,0.15,0.25
"6","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.05,0.15,0.85,50,20,"15b",21.5,26.75,-0.244186046511628,0.1,1.09861228866811,0,24.5,-0.0918367346938776,0.1,0.244186046511628
"7","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.75,0.85,0.15,50,20,"13b",42.5,29.75,0.3,0.1,0.125163142954006,0,45.5,0.346153846153846,0.1,0.3
"8","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.1,0.18,0.82,10,0,"10b",1,4.75,-3.75,0.08,0.587786664902119,0,1.8,-1.63888888888889,0.08,3.75
"9","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.1,0.18,0.82,50,0,"12b",5,18.75,-2.75,0.08,0.587786664902119,0,9,-1.08333333333333,0.08,2.75
"10","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.25,0.4,0.6,50,20,"10b",27.5,34.25,-0.245454545454545,0.15,0.470003629245736,0,32,-0.0703125,0.15,0.245454545454545
"11","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.05,0.14,0.86,150,50,"16b",55,67,-0.218181818181818,0.09,1.02961941718116,0,64,-0.046875,0.09,0.218181818181818
"12","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.05,0.14,0.86,20,0,"12b",1,7,-6,0.09,1.02961941718116,0,2.8,-1.5,0.09,6
"13","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.25,0.4,0.6,40,10,"8b",17.5,27.25,-0.557142857142857,0.15,0.470003629245736,0,22,-0.238636363636364,0.15,0.557142857142857
"14","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.5,0.7,0.3,150,0,"4b",75,116.25,-0.55,0.2,0.336472236621213,0,105,-0.107142857142857,0.2,0.55
"15","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.95,0.95,0.05,40,10,"0b",38.5,39.25,-0.0194805194805195,0,0,1,38.5,-0.0194805194805195,0,0.0194805194805195
"16","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.5,0.7,0.3,50,20,"12b",35,31.25,0.107142857142857,0.2,0.336472236621213,0,41,0.23780487804878,0.2,0.107142857142857
"17","jtkbedy2",2202704,"triangle",4,7.68,33,"Male","College",0.9,0.95,0.05,10,0,"1b",9,9.25,-0.0277777777777778,0.0499999999999999,0.0540672212702758,0,9.5,0.0263157894736842,0.0499999999999999,0.0277777777777778
