postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,x1,x2,lotterychoice,ev,ce,rrp
jzmw1ki8,351135,icon,1,6.545,25,Female,High school,0.1,10,0,12a,1,4.25,-3.25
jzmw1ki8,351135,icon,1,6.545,25,Female,High school,0.05,20,0,17b,1,2.5,-1.5
jzmvf2t9,1069590,pie,2,7.59,51,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmvf2t9,1069590,pie,2,7.59,51,Female,College,0.1,10,0,14b,1,2.75,-1.75
jzmvfp81,667215,circle,3,7.025,44,Male,High school,0.05,20,0,12b,1,7.5,-6.5
jzmvfp81,667215,circle,3,7.025,44,Male,High school,0.1,10,0,13b,1,3.25,-2.25
jzmwuton,329150,icon,1,7.85,28,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmwuton,329150,icon,1,7.85,28,Male,College,0.05,20,0,16b,1,3.5,-2.5
jzmvfpit,263840,bar,5,7.485,38,Male,High school,0.05,20,0,17b,1,2.5,-1.5
jzmvfpit,263840,bar,5,7.485,38,Male,High school,0.1,10,0,16b,1,1.75,-0.75
jzmypz9k,439086,none,0,7.14,29,Male,High school,0.05,20,0,14b,1,5.5,-4.5
jzmypz9k,439086,none,0,7.14,29,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmvg3rm,558935,pie,2,7.77,59,Female,High school,0.1,10,0,12b,1,3.75,-2.75
jzmvg3rm,558935,pie,2,7.77,59,Female,High school,0.05,20,0,14b,1,5.5,-4.5
jzmxgdm5,285818,triangle,4,6.485,33,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmxgdm5,285818,triangle,4,6.485,33,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvg76z,172836,bar,5,7.735,36,Male,College,0.05,20,0,16b,1,3.5,-2.5
jzmvg76z,172836,bar,5,7.735,36,Male,College,0.1,10,0,17b,1,1.25,-0.25
jzmveztu,181218,icon,1,7.54,22,Male,High school,0.05,20,0,11b,1,8.5,-7.5
jzmveztu,181218,icon,1,7.54,22,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmwmcx1,634318,pie,2,8.915,39,Female,College,0.1,10,0,4b,1,7.75,-6.75
jzmwmcx1,634318,pie,2,8.915,39,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmvoukz,871528,bar,5,7.325,52,Female,Graduate school,0.05,20,0,17a,1,3.5,-2.5
