postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,prob1,prob2,x1,x2,lotterychoice,ev,ce,rrp,error,lnerror,exact,ev_perceived,rrp_perceived
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.9,0.95,0.05,20.0,10.0,1b,19.0,19.25,-0.013157894736842105,1.0555555555555556,0.05406722127027579,0,19.5,0.01282051282051282
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.75,0.85,0.15,20.0,0.0,5b,15.0,14,0.06666666666666667,1.1333333333333333,0.125163142954006,0,17.0,0.17647058823529413
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.5,0.6,0.4,10.0,0.0,15b,5.0,2.25,0.55,1.2,0.1823215567939546,0,6.0,0.625
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.5,0.6,0.4,20.0,10.0,16b,15.0,11.75,0.21666666666666667,1.2,0.1823215567939546,0,16.0,0.265625
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.1,0.25,0.75,20.0,10.0,12b,11.0,13.75,-0.25,2.5,0.9162907318741551,0,12.5,-0.1
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.05,0.15,0.85,50.0,20.0,15b,21.5,26.75,-0.2441860465116279,2.9999999999999996,1.0986122886681096,0,24.5,-0.09183673469387756
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.75,0.85,0.15,50.0,20.0,13b,42.5,29.75,0.3,1.1333333333333333,0.125163142954006,0,45.5,0.34615384615384615
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.1,0.18,0.82,10.0,0.0,10b,1.0,4.75,-3.75,1.7999999999999998,0.587786664902119,0,1.7999999999999998,-1.638888888888889
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.1,0.18,0.82,50.0,0.0,12b,5.0,18.75,-2.75,1.7999999999999998,0.587786664902119,0,9.0,-1.0833333333333333
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.25,0.4,0.6,50.0,20.0,10b,27.5,34.25,-0.24545454545454545,1.6,0.47000362924573563,0,32.0,-0.0703125
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.05,0.14,0.86,150.0,50.0,16b,55.0,67,-0.21818181818181817,2.8000000000000003,1.0296194171811583,0,64.0,-0.046875
jtkbedy2,2202704,triangle,4,7.68,33,Male,College,0.05,0.14,0.86,20.0,0.0,12b,1.0,7,-6.0,2.8000000000000003,1.0296194171811583,0,2.8000000000000003,-1.4999999999999996
