"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived"
"26","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.86,0.14,20,10,"10b",15,14.75,0.0166666666666667,1.72,0.542324290825362,0,18.6,0.206989247311828
"27","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.05,0.77,0.23,20,0,"9b",1,10,-9,15.4,2.73436750941958,0,15.4,0.350649350649351
"28","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.1,0.91,0.09,20,10,"13b",11,13.25,-0.204545454545455,9.1,2.2082744135228,0,19.1,0.306282722513089
"29","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.95,0.82,0.18,20,0,"9b",19,10,0.473684210526316,0.863157894736842,-0.147157644336288,0,16.4,0.390243902439024
"30","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.7,0.3,40,10,"13b",25,19.75,0.21,1.4,0.336472236621213,0,31,0.362903225806452
"31","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.25,0.88,0.12,20,0,"10b",5,9,-0.8,3.52,1.25846098961001,0,17.6,0.488636363636364
"32","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.9,0.88,0.12,10,0,"7b",9,6.25,0.305555555555556,0.977777777777778,-0.0224728558520586,0,8.8,0.289772727272727
"33","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.1,0.39,0.61,10,0,"10b",1,4.75,-3.75,3.9,1.3609765531356,0,3.9,-0.217948717948718
"34","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.95,0.8,0.2,50,20,"11b",48.5,32.75,0.324742268041237,0.842105263157895,-0.171850256926659,0,44,0.255681818181818
"35","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.91,0.09,150,0,"9b",75,78.75,-0.05,1.82,0.598836501088704,0,136.5,0.423076923076923
"36","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.75,0.92,0.08,20,0,"8b",15,11,0.266666666666667,1.22666666666667,0.20430046351273,0,18.4,0.402173913043478
"37","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.05,0.6,0.4,40,10,"12b",11.5,21.25,-0.847826086956522,12,2.484906649788,0,28,0.241071428571429
"38","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.9,0.82,0.18,20,10,"7a",19,16.75,0.118421052631579,0.911111111111111,-0.0930904230660121,0,18.2,0.0796703296703296
"39","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.95,0.88,0.12,40,10,"8a",38.5,28.75,0.253246753246753,0.926315789473684,-0.0765400771223344,0,36.4,0.210164835164835
"40","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.89,0.11,50,20,"11a",35,34.25,0.0214285714285714,1.78,0.576613364303994,0,46.7,0.266595289079229
"41","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.9,0.92,0.08,50,0,"12a",45,21.25,0.527777777777778,1.02222222222222,0.0219789067187752,0,46,0.53804347826087
"42","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.75,0.84,0.16,50,20,"10a",42.5,35.75,0.158823529411765,1.12,0.113328685307003,0,45.2,0.209070796460177
"43","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.05,0.89,0.11,50,20,"8a",21.5,38.75,-0.802325581395349,17.8,2.87919845729804,0,46.7,0.170235546038544
"44","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.9,0.1,10,0,"7a",5,6.75,-0.35,1.8,0.587786664902119,0,9,0.25
"45","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.75,0.86,0.14,40,10,"6a",32.5,31.75,0.0230769230769231,1.14666666666667,0.136859182717197,0,35.8,0.113128491620112
"46","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.5,0.83,0.17,50,0,"10a",25,26.25,-0.05,1.66,0.506817602368452,0,41.5,0.367469879518072
"47","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.25,0.86,0.14,50,20,"13a",27.5,31.25,-0.136363636363636,3.44,1.23547147138531,0,45.8,0.317685589519651
"48","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.1,0.83,0.17,50,0,"11a",5,23.75,-3.75,8.3,2.11625551480255,0,41.5,0.427710843373494
"49","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.25,0.71,0.29,40,10,"13a",17.5,21.25,-0.214285714285714,2.84,1.04380405217311,0,31.3,0.321086261980831
"50","jtk7zk4d",860379,"circle",3,8.11,30,"Male","College",0.05,0.61,0.39,150,50,"13a",55,87,-0.581818181818182,12.2,2.50143595173921,0,111,0.216216216216216
"51","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,150,0,"11b",75,63.75,0.15,1,0,1,75,0.15
"52","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.9,0.9,0.1,10,0,"10b",9,4.75,0.472222222222222,1,0,1,9,0.472222222222222
"53","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.05,0.05,0.95,150,50,"16b",55,67,-0.218181818181818,1,0,1,55,-0.218181818181818
"54","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,20,10,"12b",15,13.75,0.0833333333333333,1,0,1,15,0.0833333333333333
"55","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.25,0.25,0.75,50,20,"13b",27.5,29.75,-0.0818181818181818,1,0,1,27.5,-0.0818181818181818
"56","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.1,0.1,0.9,50,0,"16b",5,8.75,-0.75,1,0,1,5,-0.75
"57","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.75,0.75,0.25,40,10,"14b",32.5,18.25,0.438461538461538,1,0,1,32.5,0.438461538461538
"58","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,10,0,"11b",5,4.25,0.15,1,0,1,5,0.15
"59","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,50,20,"11b",35,32.75,0.0642857142857143,1,0,1,35,0.0642857142857143
"60","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.9,0.9,0.1,20,10,"4b",19,17.75,0.0657894736842105,1,0,1,19,0.0657894736842105
"61","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.95,0.95,0.05,50,20,"3b",48.5,44.75,0.077319587628866,1,0,1,48.5,0.077319587628866
"62","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.25,0.25,0.75,40,10,"12b",17.5,21.25,-0.214285714285714,1,0,1,17.5,-0.214285714285714
"63","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.75,0.75,0.25,50,20,"6b",42.5,40.25,0.0529411764705882,1,0,1,42.5,0.0529411764705882
"64","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.75,0.75,0.25,20,0,"8b",15,11,0.266666666666667,1,0,1,15,0.266666666666667
"65","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,40,10,"10b",25,24.25,0.03,1,0,1,25,0.03
"66","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.05,0.05,0.95,50,20,"14b",21.5,28.25,-0.313953488372093,1,0,1,21.5,-0.313953488372093
"67","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.25,0.25,0.75,20,0,"14b",5,5,0,1,0,1,5,0
"68","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.95,0.95,0.05,40,10,"3b",38.5,34.75,0.0974025974025974,1,0,1,38.5,0.0974025974025974
"69","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.05,0.05,0.95,20,0,"15b",1,4,-3,1,0,1,1,-3
"70","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.1,0.1,0.9,10,0,"14b",1,2.75,-1.75,1,0,1,1,-1.75
"71","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.9,0.9,0.1,50,0,"4b",45,38.75,0.138888888888889,1,0,1,45,0.138888888888889
"72","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.1,0.1,0.9,20,10,"12b",11,13.75,-0.25,1,0,1,11,-0.25
"73","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.5,0.5,0.5,50,0,"12b",25,18.75,0.25,1,0,1,25,0.25
"74","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.05,0.05,0.95,40,10,"15b",11.5,16.75,-0.456521739130435,1,0,1,11.5,-0.456521739130435
"75","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.95,0.95,0.05,20,0,"4b",19,15,0.210526315789474,1,0,1,19,0.210526315789474
"126","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.9,0.5,0.5,20,10,"19b",19,10.5,0.447368421052632,0.555555555555556,-0.587786664902119,0,15,0.3
"127","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.25,0.5,0.5,20,0,"10a",5,10,-1,2,0.693147180559945,0,10,0
